var1;var2;var3;var4;var5
2;0.04432569266687066;3.8196106536704346;55.91;11200.0
3;-0.48252266361782004;4.0331548693029085;57.68;74400.0
1;26.640898341370594;4.049130117056679;12.05;74400.0
2;-0.00043902459622300596;3.5823643446594007;5.13;12800.0
2;29.693745102040435;3.87781955077547;45.19;9200.0
2;0.01009018745349886;3.6159053529008722;4.35;96000.0
1;-0.00746870632262425;3.8179627235773714;12.63;45600.0
2;0.0008505166564728619;3.8451600776519457;141.35;216000.0
3;0.007051448947771092;4.1091392645516995;82.01;13440.0
1;-0.004227845308841433;4.928329302336954;107.64;6000000.0
2;-0.004154285526696826;5.117638983176928;84.08;2098400.0
1;0.04752971033176303;4.395275063786798;73.89;101520.0
2;-0.000453353974433017;3.9294576723608494;82.51;32000.0
2;-6.242916956575535;3.3270551113963913;30.75;11200.0
1;-0.005649845110661283;4.306586559410431;96.41;62720.0
3;-0.01752081010996743;3.8048767197576545;7.85;992.0
3;-0.000673169180213122;3.8547225233600684;2.54;16000.0
2;-0.000877111870108901;3.719303895313979;2.75;16000.0
2;0.028961751723084;4.591028106167588;91.34;463200.0
2;0.0;3.5457701042290273;29.33;6400.0
1;0.002507949346712798;4.199351669390231;89.95;750400.0
3;5.1655285735407e-05;3.9142376276523247;58.79;56000.0
2;0.012822533848694863;3.5329148230435368;29.23;50560.0
2;0.12827327245677758;3.0164387967176114;14.28;3200.0
2;0.000186785616576088;3.5846204066399365;14.05;9600.0
1;0.002720925134414504;3.921826542290385;43.89;20800.0
3;5.0531408129160006e-05;3.62713578708025;12.49;11200.0
2;0.013373928526329461;4.22989222888258;61.25;48000.0
2;-0.02251339482035611;3.9962731092526615;21.16;288000.0
3;-0.0009882408635689351;4.006905583860137;20.3;14400.0
1;-0.010043513706732017;3.4276594479064797;1.98;7200.0
2;-0.0005462523917767139;3.7590311677954675;6.72;16000.0
2;0.013063064343101312;3.867861404913935;27.6;3200.0
2;0.00032796055759853;3.5021022543594635;52.29;10400.0
1;0.000282702354328868;3.520894782440786;10.69;8000.0
1;0.0555183092752128;4.133984790911649;27.98;216000.0
2;6.5580255125182e-05;3.845490583602409;51.67;568000.0
2;-0.000548704250645301;3.8225430533200995;32.75;8000.0
2;-0.006414043153796825;3.5731047512695344;6.94;192000.0
2;-0.001755384879286902;3.6404898803817844;53.47;16000.0
1;2.286149671774e-06;3.6115448238755263;49.48;16800.0
2;0.000620670406223688;3.652780627853423;40.19;32000.0
1;-0.031175269698269795;3.2970881806350136;8.34;384000.0
3;-0.2325741470229605;3.8058571118916853;66.68;28800.0
2;10.62535962495842;3.672466336326592;19.23;16000.0
2;-0.00022508821380915302;3.4945368322211263;4.97;6400.0
3;-0.006003488250212115;3.3864890665018073;46.08;3680.0
3;56.40279167046031;4.08602563568536;36.9;1840.0
3;-0.01978878685364671;3.8287678469933426;2.55;57600.0
3;0.06577262277552692;3.7676542603161636;16.5;8000.0
2;7.9326630687205e-05;3.7621378031995247;70.39;48000.0
4;0.02237999891628498;3.5037710944083553;17.68;26400.0
1;-0.4059304132545219;4.734946789842395;68.51;1032000.0
2;-2.1474258873428002e-05;4.215000272881529;39.89;16960.0
2;0.00019294906235634802;3.6128578853232813;7.92;9600.0
3;0.00183583563101096;3.578458615514323;23.86;15200.0
2;0.000725011356012758;3.3529336838928487;16.86;16000.0
2;-1.2634242930947712;3.550253097410838;23.99;2320.0
2;-0.21744098467956202;3.5882172205178144;22.35;6400.0
2;0.00041660950272941297;3.930590813141694;12.95;307200.0
1;-0.002249310770940193;3.694602914129148;7.9;17600.0
1;0.06689468054968775;4.591266265280115;94.14;811200.0
2;-0.0051454461586147;3.5890143274916246;26.29;123200.0
2;0.0;3.5906084794475412;6.74;6400.0
2;0.00011057254826198499;4.695583423837281;3.89;985600.0
2;0.004436609763463548;3.2096847585479873;42.01;6400.0
2;-0.001685711184843063;3.6738829523828027;5.6;12800.0
2;-0.07546581415924757;3.6039461511626825;19.67;13280.0
2;-0.0024112711537890162;3.6408424847813547;8.64;32000.0
1;0.08405657962891494;3.623407703220423;24.11;96000.0
3;-0.002597233393625311;4.026396012015157;54.98;25600.0
5;0.014593218072286328;3.959282838114056;24.43;8000.0
1;-0.03778916718034549;4.179536718714126;68.06;64000.0
2;-0.001272579762278705;3.7058617694595175;15.52;4000.0
2;0.0011737634896135001;3.5384849863620413;58.17;288000.0
2;-0.001177694339456681;3.0409318354113375;19.47;2000.0
2;0.009691374054560284;3.618198993515706;32.97;11520.0
2;-0.000902719505514822;3.1308617594464656;0.85;6400.0
2;-0.03892066435853266;3.691262286711551;19.21;31200.0
1;-0.00027305406515908;3.6762377883869823;44.03;56000.0
1;-1.0262556470115187;3.5929524662325742;3.97;8800.0
3;0.0;4.389423668350503;60.16;119200.0
1;24.835614201362436;3.7338971972456214;51.55;218400.0
2;-0.00030653932268690404;3.6288125687960546;53.87;32000.0
3;0.000415310410150986;3.4952916690574045;25.0;23360.0
2;-0.004278087506439794;3.564990650493754;16.41;6400.0
3;-0.009052911494196032;3.597185716317845;6.28;6400.0
1;-0.001581904590775263;3.6448935461669922;17.51;120000.0
1;0.01619961912016267;4.550990041659474;65.86;73600.0
2;0.000258598579723006;3.5706540897658354;23.03;46400.0
1;-0.000557282720948526;4.2571167347414995;54.4;338400.0
2;0.000283854543026431;2.712263771214374;6.35;9440.0
1;-0.00012719069802877699;3.5877555387167;5.11;8800.0
2;-0.001235543076165308;3.6608114724317455;102.12;72000.0
1;-0.000690157875271619;4.064922793030255;8.33;316800.0
3;-0.06292176559708337;4.003411343683272;22.17;26400.0
1;-0.001278149335108883;3.5646901295514124;26.72;80000.0
3;0.0172429458959207;3.779153715209793;40.53;4480.0
1;0.003786323008819331;3.9326871986578826;50.17;50400.0
2;-0.00039421706666023894;3.8235756559104352;69.66;30240.0
1;0.14609552381931457;3.722769295820186;12.68;16000.0
2;-0.006729296502498516;4.338095728725539;20.81;56000.0
3;0.00024483152628363;2.8461098784183285;21.89;16000.0
3;0.0;3.731918365781852;5.2;5120.0
2;0.0008796628475340309;3.5526630779853727;50.95;7200.0
4;6.558142006943268;3.824487453382291;10.01;64000.0
2;0.000330129067285699;3.619916822347781;26.18;32000.0
1;7.885619192732125;3.5137159914419636;47.31;25600.0
2;-42.686143743561686;3.9352530377146917;40.57;8000.0
2;0.000189640218680306;4.147334728997801;35.14;8960.0
2;0.006055168002749832;3.6565131783253277;13.84;16000.0
1;0.001240791787814829;4.951599581803076;37.06;1800000.0
2;0.002070479343179365;3.749479298616553;61.26;52800.0
2;-0.01808486899499295;3.1880053376135815;12.53;32000.0
2;-0.000517701236638606;3.6871366076405026;39.08;28800.0
2;0.002325090866585271;3.710313119693729;7.59;26400.0
2;0.006560157332920883;3.520613136294963;3.92;16000.0
2;-0.06902714902720977;3.631019801513768;8.71;8000.0
3;-0.00061575382434913;3.670315596986712;23.0;8000.0
